,name,amount,
1170,CryptoPunk 7824,50.5,"($200,999)"
1171,CryptoPunk 7824,59,"($238,890)"
1172,CryptoPunk 7824,65,"($258,956)"
1173,CryptoPunk 7824,75,"($300,199)"
1174,CryptoPunk 7824,99,"($376,609)"
1175,CryptoPunk 7824,200,"($911,746)"
1176,CryptoPunk 7824,6,"($2,273)"
1177,CryptoPunk 7824,5.1,"($1,771)"
1178,CryptoPunk 7824,4.99,"($1,690)"
1179,CryptoPunk 7824,3.4,"($1,202)"
1180,CryptoPunk 7824,3.07,"($1,058)"
1181,CryptoPunk 7824,1.5,($517)
1182,CryptoPunk 7824,1.5,($489)
1183,CryptoPunk 7824,1.12,($397)
1184,CryptoPunk 7824,1.12,($257)
1185,CryptoPunk 7824,1.21,($278)
1186,CryptoPunk 7824,1.31,($315)
1187,CryptoPunk 7824,2.39,($406)
1188,CryptoPunk 7824,0.95,($195)
1189,CryptoPunk 7824,0.79,($188)
1190,CryptoPunk 7824,0.05,($13)
1191,CryptoPunk 7824,0.59,($165)
1192,CryptoPunk 1319,72.95,"($220,707)"
1193,CryptoPunk 1319,76.95,"($292,524)"
1194,CryptoPunk 1319,79.95,"($298,079)"
1195,CryptoPunk 1319,74.95,"($278,810)"
1196,CryptoPunk 1319,72.95,"($275,636)"
1197,CryptoPunk 1319,64.4,"($243,331)"
1198,CryptoPunk 1319,74.95,"($307,669)"
1199,CryptoPunk 1319,71.95,"($294,819)"
1200,CryptoPunk 1319,67.95,"($275,965)"
1201,CryptoPunk 1319,69.95,"($282,386)"
1202,CryptoPunk 1319,76.95,"($314,559)"
1203,CryptoPunk 1319,70.8,"($289,418)"
1204,CryptoPunk 1319,70.8,"($289,418)"
1205,CryptoPunk 1319,68.5,"($276,925)"
1206,CryptoPunk 1319,68.5,"($279,875)"
1207,CryptoPunk 1319,75,"($306,432)"
1208,CryptoPunk 1319,82,"($355,814)"
1209,CryptoPunk 1319,70,"($303,652)"
1210,CryptoPunk 1319,70,"($304,548)"
1211,CryptoPunk 1319,85,"($369,808)"
1212,CryptoPunk 1319,95,"($386,119)"
1213,CryptoPunk 1319,120,"($504,050)"
1214,CryptoPunk 1319,1,"($1,544)"
1215,CryptoPunk 1319,1,"($1,015)"
1216,CryptoPunk 1319,0.01,($<0.01)
1217,CryptoPunk 5067,72.96,"($233,284)"
1218,CryptoPunk 5067,81,"($329,458)"
1219,CryptoPunk 5067,79,"($321,863)"
1220,CryptoPunk 5067,75,"($308,435)"
1221,CryptoPunk 5067,77,"($306,501)"
1222,CryptoPunk 5067,84,"($327,437)"
1223,CryptoPunk 5067,93,"($385,887)"
1224,CryptoPunk 5067,103,"($422,027)"
1225,CryptoPunk 5067,108,"($454,624)"
1226,CryptoPunk 5067,118,"($498,826)"
1227,CryptoPunk 5067,114,"($474,314)"
1228,CryptoPunk 5067,106,"($486,745)"
1229,CryptoPunk 5067,99.89,"($471,644)"
1230,CryptoPunk 5067,129.68,"($528,866)"
1231,CryptoPunk 5067,100,"($343,188)"
1232,CryptoPunk 5067,110,"($393,325)"
1233,CryptoPunk 5067,100,"($358,620)"
1234,CryptoPunk 5067,110,"($381,731)"
1235,CryptoPunk 5067,139,"($546,056)"
1236,CryptoPunk 5067,149,"($487,908)"
1237,CryptoPunk 3922,66,"($248,698)"
1238,CryptoPunk 3922,72.99,"($273,679)"
1239,CryptoPunk 3922,66,"($245,896)"
1240,CryptoPunk 3922,68.95,"($261,674)"
1241,CryptoPunk 3922,69.99,"($273,694)"
1242,CryptoPunk 3922,51,"($206,918)"
1243,CryptoPunk 3922,73.99,"($299,458)"
1244,CryptoPunk 3922,61,"($250,404)"
1245,CryptoPunk 3922,51,"($210,970)"
1246,CryptoPunk 3922,57,"($225,613)"
1247,CryptoPunk 3922,57,"($221,384)"
1248,CryptoPunk 3922,56,"($217,282)"
1249,CryptoPunk 3922,61,"($237,903)"
1250,CryptoPunk 3922,77,"($335,687)"
1251,CryptoPunk 3922,5.79,"($8,766)"
1252,CryptoPunk 3922,5.79,"($4,226)"
1253,CryptoPunk 3922,5.47,"($4,025)"
1254,CryptoPunk 3922,4.6,"($3,373)"
1255,CryptoPunk 3922,5.49,"($3,842)"
1256,CryptoPunk 3922,4.95,"($3,464)"
1257,CryptoPunk 3922,4.6,"($2,944)"
1258,CryptoPunk 3922,4.95,"($3,142)"
1259,CryptoPunk 3922,5.2,"($3,376)"
1260,CryptoPunk 3922,4,"($2,307)"
1261,CryptoPunk 3922,4,"($2,342)"
1262,CryptoPunk 3922,1.75,($831)
1263,CryptoPunk 3922,1.75,($840)
1264,CryptoPunk 3922,2.25,"($1,081)"
1265,CryptoPunk 3922,2.25,"($1,079)"
1266,CryptoPunk 3922,2.5,"($1,176)"
1267,CryptoPunk 3922,2.75,"($1,270)"
1268,CryptoPunk 3922,2.7,"($1,233)"
1269,CryptoPunk 3922,2.95,"($1,362)"
1270,CryptoPunk 3922,2.7,"($1,254)"
1271,CryptoPunk 3922,3,"($1,409)"
1272,CryptoPunk 3922,3.5,"($1,568)"
1273,CryptoPunk 3922,0.53,($219)
1274,CryptoPunk 3922,0.34,($58)
1275,CryptoPunk 3922,0.34,($59)
1276,CryptoPunk 3922,0.52,($83)
1277,CryptoPunk 3922,0.32,($34)
1278,CryptoPunk 3922,0.3,($42)
1279,CryptoPunk 3922,0.25,($35)
1280,CryptoPunk 3922,0.25,($22)
1281,CryptoPunk 3922,1.2,($365)
1282,CryptoPunk 1029,73,"($293,844)"
1283,CryptoPunk 1029,66,"($260,715)"
1284,CryptoPunk 1029,61.36,"($241,017)"
1285,CryptoPunk 1029,61.36,"($235,213)"
1286,CryptoPunk 1029,66,"($251,339)"
1287,CryptoPunk 1029,78,"($353,421)"
1288,CryptoPunk 1029,92.99,"($426,237)"
1289,CryptoPunk 1029,90,"($417,717)"
1290,CryptoPunk 1029,86,"($397,704)"
1291,CryptoPunk 1029,77,"($366,936)"
1292,CryptoPunk 1029,77,"($355,671)"
1293,CryptoPunk 1029,86,"($410,770)"
1294,CryptoPunk 1029,4.95,"($1,205)"
1295,CryptoPunk 1029,0.2,($44)
1296,CryptoPunk 1029,0.25,($53)
1297,CryptoPunk 1029,0.2,($42)
1298,CryptoPunk 1029,0.25,($53)
1299,CryptoPunk 1029,0.3,($63)
1300,CryptoPunk 5879,73,"($235,632)"
1301,CryptoPunk 5879,75,"($271,641)"
1302,CryptoPunk 5879,80,"($290,719)"
1303,CryptoPunk 5879,69.95,"($265,446)"
1304,CryptoPunk 5879,69.95,"($270,511)"
1305,CryptoPunk 5879,71.95,"($292,920)"
1306,CryptoPunk 5879,68,"($278,892)"
1307,CryptoPunk 5879,68,"($277,755)"
1308,CryptoPunk 5879,69.95,"($282,765)"
1309,CryptoPunk 5879,66,"($267,744)"
1310,CryptoPunk 5879,66,"($267,744)"
1311,CryptoPunk 5879,88,"($398,470)"
1312,CryptoPunk 5879,120,"($556,068)"
1313,CryptoPunk 5879,90,"($221,139)"
1314,CryptoPunk 5879,50,"($122,855)"
1315,CryptoPunk 5879,87,"($212,862)"
1316,CryptoPunk 5879,31,"($75,728)"
1317,CryptoPunk 5879,31,"($76,320)"
1318,CryptoPunk 5879,29,"($71,397)"
1319,CryptoPunk 5879,29,"($98,320)"
1320,CryptoPunk 5879,0.23,($62)
1321,CryptoPunk 5879,0.23,($62)
1322,CryptoPunk 5879,0.23,($62)
1323,CryptoPunk 8005,73.8,"($281,137)"
1324,CryptoPunk 8005,77.9,"($292,244)"
1325,CryptoPunk 8005,80,"($319,192)"
1326,CryptoPunk 8005,86,"($393,662)"
1327,CryptoPunk 8005,179,"($603,350)"
1328,CryptoPunk 8005,888.88,($2.87M)
1329,CryptoPunk 8005,250,"($806,128)"
1330,CryptoPunk 8005,155,"($501,843)"
1331,CryptoPunk 8005,130,"($434,429)"
1332,CryptoPunk 8005,69.69,"($233,367)"
1333,CryptoPunk 8005,69.69,"($233,455)"
1334,CryptoPunk 8005,73,"($230,061)"
1335,CryptoPunk 8005,30,"($73,779)"
1336,CryptoPunk 8005,25,"($44,890)"
1337,CryptoPunk 8005,25,"($46,851)"
1338,CryptoPunk 8005,20,"($40,578)"
1339,CryptoPunk 8005,20,"($40,578)"
1340,CryptoPunk 8005,30,"($55,059)"
1341,CryptoPunk 8005,35,"($120,204)"
1342,CryptoPunk 8005,32,"($108,009)"
1343,CryptoPunk 8005,39,"($114,805)"
1344,CryptoPunk 8005,49,"($104,168)"
1345,CryptoPunk 8005,49,"($82,046)"
1346,CryptoPunk 8560,73.99,"($282,588)"
1347,CryptoPunk 8560,51,"($204,129)"
1348,CryptoPunk 8560,51,"($204,578)"
1349,CryptoPunk 8560,49,"($196,556)"
1350,CryptoPunk 8560,50,"($200,567)"
1351,CryptoPunk 8560,50,"($200,567)"
1352,CryptoPunk 8560,48,"($192,544)"
1353,CryptoPunk 8560,51.15,"($204,695)"
1354,CryptoPunk 8560,55,"($221,198)"
1355,CryptoPunk 8560,51.15,"($204,459)"
1356,CryptoPunk 8560,59,"($234,721)"
1357,CryptoPunk 8560,62.5,"($252,669)"
1358,CryptoPunk 8560,62.5,"($254,679)"
1359,CryptoPunk 8560,69.88,"($284,751)"
1360,CryptoPunk 8560,99.88,"($437,309)"
1361,CryptoPunk 8560,112.98,"($474,437)"
1362,CryptoPunk 8560,119.98,"($459,132)"
1363,CryptoPunk 8560,17.75,"($41,286)"
1364,CryptoPunk 8560,14,"($31,066)"
1365,CryptoPunk 8560,14,"($29,481)"
1366,CryptoPunk 8560,12.75,"($26,293)"
1367,CryptoPunk 8560,12.75,"($26,971)"
1368,CryptoPunk 8560,15.5,"($34,504)"
1369,CryptoPunk 8560,15.5,"($32,941)"
1370,CryptoPunk 8560,17.75,"($37,342)"
1371,CryptoPunk 8560,16.5,"($42,473)"
1372,CryptoPunk 8560,14.25,"($36,446)"
1373,CryptoPunk 8560,15,"($38,605)"
1374,CryptoPunk 8560,14.25,"($37,409)"
1375,CryptoPunk 8560,15.75,"($38,474)"
1376,CryptoPunk 7729,73.99,"($235,769)"
1377,CryptoPunk 7729,67,"($250,027)"
1378,CryptoPunk 7729,67,"($251,336)"
1379,CryptoPunk 7729,78.99,"($294,500)"
1380,CryptoPunk 7729,0.72,"($2,671)"
1381,CryptoPunk 7729,74.99,"($284,597)"
1382,CryptoPunk 7729,70,"($266,448)"
1383,CryptoPunk 7729,70,"($266,448)"
1384,CryptoPunk 7729,77,"($286,890)"
1385,CryptoPunk 7729,88.9,"($342,283)"
1386,CryptoPunk 7729,101,"($438,031)"
1387,CryptoPunk 7729,99,"($426,164)"
1388,CryptoPunk 7729,105,"($450,784)"
1389,CryptoPunk 7729,102,"($408,552)"
1390,CryptoPunk 7729,102,"($433,694)"
1391,CryptoPunk 7729,135,"($641,080)"
1392,CryptoPunk 7729,210,"($632,167)"
1393,CryptoPunk 7729,251,"($817,954)"
1394,CryptoPunk 7729,122.98,"($396,702)"
1395,CryptoPunk 7729,122.98,"($399,155)"
1396,CryptoPunk 7729,129.98,"($416,487)"
1397,CryptoPunk 7729,137.87,"($542,186)"
1398,CryptoPunk 7729,144.98,"($570,895)"
1399,CryptoPunk 7729,149.68,"($591,131)"
1400,CryptoPunk 7729,157.88,"($597,290)"
1401,CryptoPunk 7729,159.69,"($601,329)"
1402,CryptoPunk 7729,169.69,"($579,466)"
1403,CryptoPunk 7729,174.98,"($568,088)"
1404,CryptoPunk 7729,186.69,"($602,943)"
1405,CryptoPunk 7729,197,"($633,572)"
1406,CryptoPunk 7729,219,"($701,525)"
1407,CryptoPunk 7729,237,"($769,108)"
1408,CryptoPunk 7729,888,($2.86M)
1409,CryptoPunk 7729,888.89,($2.87M)
1410,CryptoPunk 7729,299,"($967,403)"
1411,CryptoPunk 7729,259,"($840,748)"
1412,CryptoPunk 7729,215,"($719,106)"
1413,CryptoPunk 7729,175,"($507,276)"
1414,CryptoPunk 7729,110,"($304,890)"
1415,CryptoPunk 7729,95.96,"($266,473)"
1416,CryptoPunk 7729,89.96,"($252,124)"
1417,CryptoPunk 7729,79.96,"($198,943)"
1418,CryptoPunk 7729,69.95,"($175,785)"
1419,CryptoPunk 7729,64.96,"($165,670)"
1420,CryptoPunk 7729,66.97,"($176,567)"
1421,CryptoPunk 7729,68.89,"($175,459)"
1422,CryptoPunk 7729,71.96,"($182,868)"
1423,CryptoPunk 7729,77.96,"($202,793)"
1424,CryptoPunk 7729,69.97,"($181,611)"
1425,CryptoPunk 7729,58.96,"($144,953)"
1426,CryptoPunk 7729,52.96,"($130,521)"
1427,CryptoPunk 7729,36.5,"($89,955)"
1428,CryptoPunk 7729,36.5,"($71,399)"
1429,CryptoPunk 7729,32,"($125,855)"
1430,CryptoPunk 7729,35,"($109,991)"
1431,CryptoPunk 7729,34,"($100,334)"
1432,CryptoPunk 7729,34,"($96,701)"
1433,CryptoPunk 7729,39,"($70,499)"
1434,CryptoPunk 7729,45,"($70,414)"
1435,CryptoPunk 7729,35,"($66,973)"
1436,CryptoPunk 7729,40,"($14,554)"
1437,CryptoPunk 7729,18,"($6,053)"
1438,CryptoPunk 7729,8,"($1,659)"
1439,CryptoPunk 7729,4,($828)
1440,CryptoPunk 7729,3,($615)
1441,CryptoPunk 7729,3.8,($793)
1442,CryptoPunk 7729,2,($388)
1443,CryptoPunk 7729,1.5,($207)
1444,CryptoPunk 7729,0.4,($70)
1445,CryptoPunk 7729,0.4,($70)
1446,CryptoPunk 7729,0.5,($87)
1447,CryptoPunk 7729,0.25,($45)
1448,CryptoPunk 7729,0.25,($45)
1449,CryptoPunk 7729,0.25,($53)
1450,CryptoPunk 7729,0.25,($54)
1451,CryptoPunk 7729,1,($248)
1452,CryptoPunk 7729,0.2,($119)
1453,CryptoPunk 6560,74,"($230,380)"
1454,CryptoPunk 6560,121,"($521,437)"
1455,CryptoPunk 6560,132,"($569,506)"
1456,CryptoPunk 6560,142,"($619,503)"
1457,CryptoPunk 6560,147,"($429,028)"
1458,CryptoPunk 6560,138,"($399,840)"
1459,CryptoPunk 6560,128,"($441,256)"
1460,CryptoPunk 6560,138,"($501,427)"
1461,CryptoPunk 6560,125,"($449,414)"
1462,CryptoPunk 6560,147,"($574,617)"
1463,CryptoPunk 6560,210,"($654,165)"
1464,CryptoPunk 6560,194,"($617,613)"
1465,CryptoPunk 6560,165,"($525,289)"
1466,CryptoPunk 6560,74,"($247,799)"
1467,CryptoPunk 6560,51,"($166,577)"
1468,CryptoPunk 6560,51,"($166,849)"
1469,CryptoPunk 6560,74,"($204,890)"
1470,CryptoPunk 6560,63.72,"($178,245)"
1471,CryptoPunk 6560,51,"($128,011)"
1472,CryptoPunk 6560,0.07,($171)
1473,CryptoPunk 6560,29.5,"($72,628)"
1474,CryptoPunk 6560,29.5,"($61,698)"
1475,CryptoPunk 6560,0.07,($124)
1476,CryptoPunk 6560,0.05,($16)
1477,CryptoPunk 5766,74,"($235,876)"
1478,CryptoPunk 5766,80,"($328,701)"
1479,CryptoPunk 5766,22,"($50,398)"
1480,CryptoPunk 5766,22,"($49,663)"
1481,CryptoPunk 5151,74,"($236,609)"
1482,CryptoPunk 5151,121.5,"($525,515)"
1483,CryptoPunk 5151,139.5,"($631,589)"
1484,CryptoPunk 5151,151.5,"($679,541)"
1485,CryptoPunk 5151,134,"($440,950)"
1486,CryptoPunk 5151,134,"($407,210)"
1487,CryptoPunk 5151,109.9,"($366,607)"
1488,CryptoPunk 5151,59,"($145,882)"
1489,CryptoPunk 5151,37.95,"($98,501)"
1490,CryptoPunk 5151,37.95,"($94,440)"
1491,CryptoPunk 5151,35.5,"($87,305)"
1492,CryptoPunk 5151,8,"($16,816)"
1493,CryptoPunk 5151,29.95,"($54,961)"
1494,CryptoPunk 5151,8,"($15,990)"
1495,CryptoPunk 5151,37,"($70,922)"
1496,CryptoPunk 5151,29.95,"($55,474)"
1497,CryptoPunk 5151,29.5,"($54,641)"
1498,CryptoPunk 5151,16.5,"($29,414)"
1499,CryptoPunk 5151,16.5,"($29,414)"
1500,CryptoPunk 5151,12.79,"($23,132)"
1501,CryptoPunk 5151,9.95,"($18,163)"
1502,CryptoPunk 5151,7.88,"($12,241)"
1503,CryptoPunk 5151,0.01,($2)
1504,CryptoPunk 5151,0.01,($2)
1505,CryptoPunk 5151,0.01,$0 
1506,CryptoPunk 3346,74,"($280,832)"
1507,CryptoPunk 3346,86,"($347,406)"
1508,CryptoPunk 3346,64,"($262,082)"
1509,CryptoPunk 3346,64,"($260,582)"
1510,CryptoPunk 3346,68.8,"($280,126)"
1511,CryptoPunk 3346,70,"($283,527)"
1512,CryptoPunk 3346,53,"($218,232)"
1513,CryptoPunk 3346,56,"($230,584)"
1514,CryptoPunk 3346,53,"($217,657)"
1515,CryptoPunk 3346,52,"($213,550)"
1516,CryptoPunk 3346,51.15,"($210,060)"
1517,CryptoPunk 3346,56,"($229,977)"
1518,CryptoPunk 3346,51.15,"($205,180)"
1519,CryptoPunk 3346,52.02,"($210,628)"
1520,CryptoPunk 3346,52.02,"($210,395)"
1521,CryptoPunk 3346,51.5,"($209,157)"
1522,CryptoPunk 3346,51,"($207,126)"
1523,CryptoPunk 3346,56.66,"($230,338)"
1524,CryptoPunk 3346,144.99,"($467,522)"
1525,CryptoPunk 3346,45,"($147,476)"
1526,CryptoPunk 3346,49.9,"($163,370)"
1527,CryptoPunk 3346,45,"($147,072)"
1528,CryptoPunk 3346,49.9,"($155,733)"
1529,CryptoPunk 3346,55,"($174,495)"
1530,CryptoPunk 3346,34.5,"($86,771)"
1531,CryptoPunk 3346,27.9,"($71,444)"
1532,CryptoPunk 3346,27.9,"($71,059)"
1533,CryptoPunk 3346,34.5,"($87,869)"
1534,CryptoPunk 3346,35.95,"($93,229)"
1535,CryptoPunk 3346,17.9,"($41,319)"
1536,CryptoPunk 3346,17.9,"($40,005)"
1537,CryptoPunk 3346,18,"($39,800)"
1538,CryptoPunk 3346,16.5,"($31,989)"
1539,CryptoPunk 3346,17.2,"($31,823)"
1540,CryptoPunk 3346,14.5,"($26,741)"
1541,CryptoPunk 3346,14.5,"($26,656)"
1542,CryptoPunk 3346,17.49,"($32,153)"
1543,CryptoPunk 3346,17.98,"($33,147)"
1544,CryptoPunk 3346,18.2,"($33,553)"
1545,CryptoPunk 3346,0,($3)
1546,CryptoPunk 3346,0,$0.00 
1547,CryptoPunk 3346,0,$0.00 
1548,CryptoPunk 3346,3.4,"($1,222)"
1549,CryptoPunk 3346,3.2,"($1,101)"
1550,CryptoPunk 3346,2.3,($795)
1551,CryptoPunk 3346,0.5,($88)
1552,CryptoPunk 3346,0.37,($50)
1553,CryptoPunk 3346,0.33,($39)
1554,CryptoPunk 4188,74.47,"($283,152)"
1555,CryptoPunk 4188,88.88,"($330,787)"
1556,CryptoPunk 4188,10.5,"($18,700)"
1557,CryptoPunk 4188,10.5,"($19,059)"
1558,CryptoPunk 9656,74.5,"($282,737)"
1559,CryptoPunk 9656,76.95,"($312,264)"
1560,CryptoPunk 9656,59.95,"($244,788)"
1561,CryptoPunk 9656,55,"($224,577)"
1562,CryptoPunk 9656,55,"($224,577)"
1563,CryptoPunk 9656,50,"($204,160)"
1564,CryptoPunk 9656,50,"($204,454)"
1565,CryptoPunk 9656,59.95,"($244,903)"
1566,CryptoPunk 9656,65,"($255,535)"
1567,CryptoPunk 9656,69.69,"($279,122)"
1568,CryptoPunk 9656,91,"($287,177)"
1569,CryptoPunk 9656,95.99,"($302,512)"
1570,CryptoPunk 9656,91,"($283,497)"
1571,CryptoPunk 9656,85.85,"($264,035)"
1572,CryptoPunk 9656,95.99,"($295,280)"
1573,CryptoPunk 9656,93,"($289,439)"
1574,CryptoPunk 9656,99.99,"($302,652)"
1575,CryptoPunk 9656,95,"($287,548)"
1576,CryptoPunk 9656,95,"($286,727)"
1577,CryptoPunk 9656,93,"($280,691)"
1578,CryptoPunk 9656,96,"($292,268)"
1579,CryptoPunk 9656,73,"($209,166)"
1580,CryptoPunk 9656,97,"($263,501)"
1581,CryptoPunk 9656,99.99,"($307,238)"
1582,CryptoPunk 9656,88.88,"($296,280)"
1583,CryptoPunk 9656,97.99,"($338,443)"
1584,CryptoPunk 9656,88.88,"($306,469)"
1585,CryptoPunk 9656,98.99,"($341,329)"
1586,CryptoPunk 9656,0,$0.00 
1587,CryptoPunk 9656,0,$0.00 
1588,CryptoPunk 9656,22,"($43,234)"
1589,CryptoPunk 9656,23,"($45,199)"
1590,CryptoPunk 9656,18.9,"($40,462)"
1591,CryptoPunk 9656,18.9,"($39,469)"
1592,CryptoPunk 9656,0.1,($215)
1593,CryptoPunk 9656,0.1,($218)
1594,CryptoPunk 9656,0.1,($218)
1595,CryptoPunk 9656,0.1,($218)
1596,CryptoPunk 9656,0,$0.00 
1597,CryptoPunk 9656,0,$0.00 
1598,CryptoPunk 9656,22.5,"($39,398)"
1599,CryptoPunk 9656,22.5,"($40,003)"
1600,CryptoPunk 9656,22.99,"($39,966)"
1601,CryptoPunk 9656,4.9,"($1,688)"
1602,CryptoPunk 9656,5.8,"($2,052)"
1603,CryptoPunk 9656,3.43,"($1,228)"
1604,CryptoPunk 9656,3.43,"($1,207)"
1605,CryptoPunk 9656,3.1,"($1,091)"
1606,CryptoPunk 9656,2.19,($742)
1607,CryptoPunk 9656,1.8,($613)
1608,CryptoPunk 700,74.87,"($281,230)"
1609,CryptoPunk 3248,62,"($207,149)"
1610,CryptoPunk 3248,62,"($209,650)"
1611,CryptoPunk 3248,74.95,"($229,272)"
1612,CryptoPunk 3248,77.95,"($296,325)"
1613,CryptoPunk 3248,82.95,"($309,264)"
1614,CryptoPunk 3248,79.95,"($299,262)"
1615,CryptoPunk 3248,77.95,"($294,529)"
1616,CryptoPunk 3248,79.95,"($325,187)"
1617,CryptoPunk 3248,76.95,"($315,879)"
1618,CryptoPunk 3248,54.5,"($223,317)"
1619,CryptoPunk 3248,74.95,"($307,112)"
1620,CryptoPunk 3248,54.5,"($221,752)"
1621,CryptoPunk 3248,69.95,"($278,414)"
1622,CryptoPunk 3248,55,"($220,624)"
1623,CryptoPunk 3248,55,"($220,624)"
1624,CryptoPunk 3248,66,"($265,212)"
1625,CryptoPunk 3248,75,"($290,971)"
1626,CryptoPunk 3248,80,"($316,850)"
1627,CryptoPunk 3248,73,"($302,035)"
1628,CryptoPunk 3248,73,"($314,055)"
1629,CryptoPunk 3248,83,"($357,076)"
1630,CryptoPunk 3248,120,"($553,408)"
1631,CryptoPunk 3248,150,"($706,296)"
1632,CryptoPunk 3248,200,"($805,996)"
1633,CryptoPunk 3248,3,"($5,479)"
1634,CryptoPunk 3248,3,"($5,419)"
1635,CryptoPunk 3248,6.4K,($11.43M)
1636,CryptoPunk 3248,1.66K,($2.49M)
1637,CryptoPunk 3248,45,"($16,845)"
1638,CryptoPunk 3248,0.09,($67)
1639,CryptoPunk 3248,0.1,($114)
1640,CryptoPunk 3248,0.15,($103)
1641,CryptoPunk 3248,3.14,"($2,062)"
1642,CryptoPunk 8743,74.95,"($253,428)"
1643,CryptoPunk 8743,79.88,"($245,982)"
1644,CryptoPunk 8743,189.25,"($632,907)"
1645,CryptoPunk 8743,169.42,"($510,074)"
1646,CryptoPunk 8743,147.14,"($556,659)"
1647,CryptoPunk 8743,114.41,"($353,026)"
1648,CryptoPunk 8743,123.4,"($399,131)"
1649,CryptoPunk 8743,125,"($416,676)"
1650,CryptoPunk 8743,69,"($230,005)"
1651,CryptoPunk 8743,69,"($226,650)"
1652,CryptoPunk 8743,72.69,"($224,460)"
1653,CryptoPunk 8743,125,"($363,861)"
1654,CryptoPunk 8743,149,"($411,726)"
1655,CryptoPunk 8743,25,"($68,811)"
1656,CryptoPunk 8743,20,"($51,825)"
1657,CryptoPunk 8743,20,"($48,154)"
1658,CryptoPunk 8743,25,"($60,192)"
1659,CryptoPunk 8743,26.99,"($63,490)"
1660,CryptoPunk 8743,100,"($117,322)"
1661,CryptoPunk 8743,6.99,"($8,201)"
1662,CryptoPunk 8743,6.99,"($8,201)"
1663,CryptoPunk 8743,6.5,"($8,035)"
1664,CryptoPunk 8743,6.5,"($7,957)"
1665,CryptoPunk 8743,8.5,"($10,213)"
1666,CryptoPunk 8743,1.1,($403)
1667,CryptoPunk 8743,1.1,($368)
1668,CryptoPunk 8743,1,($269)
1669,CryptoPunk 5254,74.95,"($284,001)"
1670,CryptoPunk 5254,77.95,"($315,485)"
1671,CryptoPunk 5254,63.95,"($262,514)"
1672,CryptoPunk 5254,63.95,"($262,514)"
1673,CryptoPunk 5254,49.49,"($203,243)"
1674,CryptoPunk 5254,52,"($213,550)"
1675,CryptoPunk 5254,49.49,"($203,321)"
1676,CryptoPunk 5254,49,"($195,794)"
1677,CryptoPunk 5254,52,"($207,782)"
1678,CryptoPunk 5254,48.75,"($192,310)"
1679,CryptoPunk 5254,54.4,"($215,974)"
1680,CryptoPunk 5254,48.75,"($195,553)"
1681,CryptoPunk 5254,48,"($192,544)"
1682,CryptoPunk 5254,51.02,"($207,047)"
1683,CryptoPunk 5254,51.02,"($206,351)"
1684,CryptoPunk 5254,51,"($204,937)"
1685,CryptoPunk 5254,51,"($205,650)"
1686,CryptoPunk 5254,55,"($220,311)"
1687,CryptoPunk 5254,62,"($252,225)"
1688,CryptoPunk 5254,78,"($321,980)"
1689,CryptoPunk 5254,85,"($385,335)"
1690,CryptoPunk 5254,43.98,"($133,219)"
1691,CryptoPunk 5254,43.98,"($132,405)"
1692,CryptoPunk 5254,40.5,"($128,487)"
1693,CryptoPunk 5254,40.5,"($129,066)"
1694,CryptoPunk 5254,41.5,"($132,253)"
1695,CryptoPunk 5254,40,"($132,444)"
1696,CryptoPunk 5254,41.99,"($139,186)"
1697,CryptoPunk 5254,40,"($130,873)"
1698,CryptoPunk 5254,42.25,"($138,369)"
1699,CryptoPunk 5254,42.5,"($138,301)"
1700,CryptoPunk 5254,41.8,"($136,023)"
1701,CryptoPunk 5254,43.75,"($143,709)"
1702,CryptoPunk 5254,44.25,"($144,681)"
1703,CryptoPunk 5254,44.5,"($143,619)"
1704,CryptoPunk 5254,45.75,"($147,396)"
1705,CryptoPunk 5254,44,"($137,320)"
1706,CryptoPunk 5254,46,"($138,803)"
1707,CryptoPunk 5254,46.5,"($142,893)"
1708,CryptoPunk 5254,44,"($137,310)"
1709,CryptoPunk 5254,42,"($131,069)"
1710,CryptoPunk 5254,46.68,"($151,176)"
1711,CryptoPunk 5254,42,"($135,400)"
1712,CryptoPunk 5254,47.9,"($152,003)"
1713,CryptoPunk 5254,47.95,"($151,771)"
1714,CryptoPunk 5254,0,$0.00 
1715,CryptoPunk 5254,0,$0.00 
1716,CryptoPunk 5254,23,"($73,407)"
1717,CryptoPunk 5254,23,"($47,437)"
1718,CryptoPunk 5254,14.01,"($27,453)"
1719,CryptoPunk 5254,20,"($40,908)"
1720,CryptoPunk 5254,14.99,"($30,542)"
1721,CryptoPunk 5254,14.01,"($29,585)"
1722,CryptoPunk 5254,14,"($29,583)"
1723,CryptoPunk 5254,14,"($29,562)"
1724,CryptoPunk 5254,13,"($27,450)"
1725,CryptoPunk 5254,14.99,"($31,652)"
1726,CryptoPunk 5254,21.25,"($37,915)"
1727,CryptoPunk 5254,20.75,"($37,640)"
1728,CryptoPunk 5254,20.75,"($37,488)"
1729,CryptoPunk 5254,18,"($32,873)"
1730,CryptoPunk 5254,18,"($32,835)"
1731,CryptoPunk 5254,21.25,"($38,764)"
1732,CryptoPunk 5254,0.4,($60)
1733,CryptoPunk 5254,0.4,($70)
1734,CryptoPunk 5254,0.25,($47)
1735,CryptoPunk 5254,0.25,($47)
1736,CryptoPunk 5254,1,($306)
1737,CryptoPunk 1580,74.95,"($264,734)"
1738,CryptoPunk 1580,68,"($246,288)"
1739,CryptoPunk 1580,66,"($239,044)"
