,name,amount,
391,CryptoPunk 9103,169.69,"($547,167)"
392,CryptoPunk 9103,147.9,"($477,260)"
393,CryptoPunk 9103,150,"($486,842)"
394,CryptoPunk 9103,133.33,"($432,515)"
395,CryptoPunk 9103,105,"($339,771)"
396,CryptoPunk 9103,115,"($372,335)"
397,CryptoPunk 9103,130,"($433,610)"
398,CryptoPunk 9103,69.69,"($204,291)"
399,CryptoPunk 9103,100,"($280,892)"
400,CryptoPunk 9103,60,"($151,897)"
401,CryptoPunk 9103,45,"($113,923)"
402,CryptoPunk 9103,41,"($103,796)"
403,CryptoPunk 9103,37.9,"($100,713)"
404,CryptoPunk 9103,37.9,"($147,251)"
405,CryptoPunk 9103,21.5,"($46,101)"
406,CryptoPunk 9103,20.25,"($43,421)"
407,CryptoPunk 9103,21.5,"($46,101)"
408,CryptoPunk 9103,20.25,"($41,967)"
409,CryptoPunk 9103,20,"($32,618)"
410,CryptoPunk 9103,20,"($31,022)"
411,CryptoPunk 9103,24,"($35,891)"
412,CryptoPunk 9103,14.5,"($27,838)"
413,CryptoPunk 5358,60.02,"($202,883)"
414,CryptoPunk 5358,60,"($186,734)"
415,CryptoPunk 5358,66.66,"($212,479)"
416,CryptoPunk 5358,72.72,"($276,498)"
417,CryptoPunk 5358,0.06,($155)
418,CryptoPunk 5358,0.06,($156)
419,CryptoPunk 5358,0,($18)
420,CryptoPunk 7484,60,"($186,734)"
421,CryptoPunk 7484,66.69,"($211,809)"
422,CryptoPunk 7484,75,"($306,233)"
423,CryptoPunk 7484,88.88,"($369,180)"
424,CryptoPunk 7484,125,"($588,246)"
425,CryptoPunk 7484,180.08,"($591,549)"
426,CryptoPunk 7484,139.99,"($443,004)"
427,CryptoPunk 7484,159.99,"($519,196)"
428,CryptoPunk 7484,150.8,"($487,542)"
429,CryptoPunk 7484,99.99,"($333,812)"
430,CryptoPunk 7484,80.08,"($222,055)"
431,CryptoPunk 7484,50,"($122,965)"
432,CryptoPunk 7484,40,"($85,539)"
433,CryptoPunk 7484,40,"($61,576)"
434,CryptoPunk 7484,33,"($58,845)"
435,CryptoPunk 7484,34.56,"($67,736)"
436,CryptoPunk 7484,30,"($52,531)"
437,CryptoPunk 7484,6.94,"($2,484)"
438,CryptoPunk 7484,6.94,"($1,635)"
439,CryptoPunk 7484,4.34,"($1,176)"
440,CryptoPunk 7484,0.9,($244)
441,CryptoPunk 7484,0.9,($253)
442,CryptoPunk 7484,1.1,($295)
443,CryptoPunk 7484,1.35,($312)
444,CryptoPunk 7484,1.75,($391)
445,CryptoPunk 7484,5,($718)
446,CryptoPunk 7484,1.95,($274)
447,CryptoPunk 7484,1.4,($198)
448,CryptoPunk 7484,0.78,($107)
449,CryptoPunk 7484,0.78,($106)
450,CryptoPunk 7484,0.95,($127)
451,CryptoPunk 7484,0.5,($134)
452,CryptoPunk 7484,0.5,($134)
453,CryptoPunk 197,66.69,"($254,875)"
454,CryptoPunk 197,67.69,"($256,886)"
455,CryptoPunk 197,68.99,"($266,453)"
456,CryptoPunk 197,65,"($242,430)"
457,CryptoPunk 197,65,"($242,430)"
458,CryptoPunk 197,68.69,"($251,702)"
459,CryptoPunk 197,64,"($234,516)"
460,CryptoPunk 197,64,"($234,516)"
461,CryptoPunk 197,64,"($231,750)"
462,CryptoPunk 197,65,"($244,084)"
463,CryptoPunk 197,63,"($236,574)"
464,CryptoPunk 197,66,"($248,206)"
465,CryptoPunk 197,63,"($237,804)"
466,CryptoPunk 197,66.5,"($251,016)"
467,CryptoPunk 197,71,"($276,904)"
468,CryptoPunk 197,79,"($341,311)"
469,CryptoPunk 197,69.5,"($284,385)"
470,CryptoPunk 197,69.5,"($284,385)"
471,CryptoPunk 197,69.95,"($286,730)"
472,CryptoPunk 197,67,"($274,638)"
473,CryptoPunk 197,70.95,"($310,975)"
474,CryptoPunk 197,72.95,"($332,783)"
475,CryptoPunk 197,73.95,"($333,821)"
476,CryptoPunk 197,70,"($315,990)"
477,CryptoPunk 197,70,"($315,990)"
478,CryptoPunk 197,113.95,"($411,579)"
479,CryptoPunk 197,116.9,"($421,297)"
480,CryptoPunk 7877,67.49,"($209,486)"
481,CryptoPunk 7877,68.63,"($217,601)"
482,CryptoPunk 7877,61,"($192,507)"
483,CryptoPunk 7877,61,"($191,367)"
484,CryptoPunk 7877,70,"($219,269)"
485,CryptoPunk 7877,90,"($281,009)"
486,CryptoPunk 7877,87.95,"($392,637)"
487,CryptoPunk 7877,87.95,"($382,672)"
488,CryptoPunk 7877,83,"($361,135)"
489,CryptoPunk 7877,83,"($361,135)"
490,CryptoPunk 7877,88,"($370,214)"
491,CryptoPunk 7877,92,"($394,788)"
492,CryptoPunk 7877,95,"($398,022)"
493,CryptoPunk 7877,100,"($460,793)"
494,CryptoPunk 7877,120,"($566,416)"
495,CryptoPunk 7877,200,"($881,244)"
496,CryptoPunk 7877,1K,($3.77M)
497,CryptoPunk 7877,150,"($568,817)"
498,CryptoPunk 7877,339,($1.28M)
499,CryptoPunk 7877,1.5K,($4.71M)
500,CryptoPunk 7877,72,"($240,607)"
501,CryptoPunk 7877,72,"($208,822)"
502,CryptoPunk 7877,41.5,"($104,290)"
503,CryptoPunk 7877,41.5,"($104,865)"
504,CryptoPunk 7877,42.99,"($106,903)"
505,CryptoPunk 7877,38,"($94,494)"
506,CryptoPunk 7877,45.99,"($114,355)"
507,CryptoPunk 7877,54.99,"($137,967)"
508,CryptoPunk 7877,60.69,"($154,389)"
509,CryptoPunk 7877,42.5,"($110,466)"
510,CryptoPunk 7877,44,"($111,965)"
511,CryptoPunk 7877,48.5,"($128,881)"
512,CryptoPunk 7877,45,"($109,998)"
513,CryptoPunk 7877,39.99,"($98,347)"
514,CryptoPunk 7877,29.99,"($73,834)"
515,CryptoPunk 7877,29.99,"($123,530)"
516,CryptoPunk 7877,29.99,"($81,554)"
517,CryptoPunk 7877,7.5,"($12,755)"
518,CryptoPunk 7877,7.5,"($12,763)"
519,CryptoPunk 3218,67.69,"($258,384)"
520,CryptoPunk 3218,23.99,"($57,064)"
521,CryptoPunk 3218,23.99,"($56,690)"
522,CryptoPunk 3218,21.99,"($52,377)"
523,CryptoPunk 3218,18,"($42,874)"
524,CryptoPunk 3218,17,"($40,425)"
525,CryptoPunk 3218,17,"($40,425)"
526,CryptoPunk 3218,16.5,"($38,266)"
527,CryptoPunk 3218,14.5,"($30,534)"
528,CryptoPunk 3218,18,"($37,873)"
529,CryptoPunk 3218,14.5,"($30,509)"
530,CryptoPunk 3218,17,"($34,797)"
531,CryptoPunk 3218,17.39,"($36,588)"
532,CryptoPunk 3218,17.49,"($37,177)"
533,CryptoPunk 3218,16,"($34,010)"
534,CryptoPunk 3218,16,"($35,945)"
535,CryptoPunk 3218,15.5,"($34,822)"
536,CryptoPunk 3218,0.01,($<0.01)
537,CryptoPunk 3218,15.5,"($36,547)"
538,CryptoPunk 3218,17.25,"($45,536)"
539,CryptoPunk 3218,17.75,"($46,178)"
540,CryptoPunk 3218,14.9,"($40,336)"
541,CryptoPunk 3218,14.9,"($40,336)"
542,CryptoPunk 3218,16.6,"($46,352)"
543,CryptoPunk 3218,20.99,"($49,229)"
544,CryptoPunk 3218,31.55,"($85,409)"
545,CryptoPunk 3218,21.5,"($49,289)"
546,CryptoPunk 3218,21.5,"($45,771)"
547,CryptoPunk 3218,21.4,"($44,167)"
548,CryptoPunk 3218,21.4,"($41,298)"
549,CryptoPunk 3218,23,"($41,956)"
550,CryptoPunk 3218,23,"($41,562)"
551,CryptoPunk 3218,25.25,"($38,564)"
552,CryptoPunk 3218,0.15,($15)
553,CryptoPunk 3218,0.15,($31)
554,CryptoPunk 7044,67.76,"($226,615)"
555,CryptoPunk 7044,65,"($244,678)"
556,CryptoPunk 7044,65,"($244,930)"
557,CryptoPunk 7044,1,"($3,768)"
558,CryptoPunk 7044,73.73,"($277,214)"
559,CryptoPunk 7044,82.69,"($337,930)"
560,CryptoPunk 7044,89.69,"($368,515)"
561,CryptoPunk 3080,67.95,"($228,356)"
562,CryptoPunk 3080,60,"($202,816)"
563,CryptoPunk 3080,60,"($202,816)"
564,CryptoPunk 3080,2.8,"($3,358)"
565,CryptoPunk 3080,4.6,"($5,826)"
566,CryptoPunk 3080,2.8,"($3,666)"
567,CryptoPunk 3080,4.6,"($5,431)"
568,CryptoPunk 3080,3,"($1,868)"
569,CryptoPunk 3080,4,"($2,491)"
570,CryptoPunk 3080,3,"($1,842)"
571,CryptoPunk 3080,3.03,"($1,861)"
572,CryptoPunk 3080,3.03,"($1,861)"
573,CryptoPunk 3080,4,"($1,770)"
574,CryptoPunk 3080,4.75,"($2,102)"
575,CryptoPunk 3080,9.5,"($3,396)"
576,CryptoPunk 3080,5,"($1,825)"
577,CryptoPunk 3080,5,"($1,727)"
578,CryptoPunk 3080,2.79,($938)
579,CryptoPunk 3080,2.79,($916)
580,CryptoPunk 3080,2.19,($717)
581,CryptoPunk 3080,1.8,($613)
582,CryptoPunk 3080,0.5,($88)
583,CryptoPunk 3080,0.37,($122)
584,CryptoPunk 1454,67.95,"($229,770)"
585,CryptoPunk 1454,68.95,"($241,235)"
586,CryptoPunk 1454,71.95,"($274,058)"
